File ID,Expected Output,File,Dataset
invoice_recwT45kbPkb2I1jp,"{
  ""total_gross"": 12.64,
  ""total_net"": 10.62,
  ""business_name"": ""SSP Deutschland, The Squire 24, 60549 Frankfurt am Main DTE"",
  ""items"": [
    {
      ""name"": ""BK Menü Whopper"",
      ""price"": 11.39
    },
    {
      ""name"": ""BK Extra Cheese gr."",
      ""price"": 1.25
    }
  ]
}",invoice_recwT45kbPkb2I1jp.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/sIWadkzCiXluZetc5VwbJA/cDjo9r7JvMPS9WliApFMtmF8Vcvlf-NJ23qHlovDkvcEtLPJf6PEyq9GkpPsqy4Ox-39q65IHKQmzYA_Sa6Wg1uXhDegtCHzGAiZeJMiLu_E06iu9lz8c2UCGRWvxDYIYcvQvKtt3rKK6e3lI5TRwWy0s6xd-CHEMt1Ql0nUTYM0bIO3TadFlUlb2avHtDaJ/hyshuxkL7Q6-TUhiKwMsrWRmQm__rmFtcbD_eUN-0yc),invoice
invoice_recx4wg6mwAac34bH,"{
  ""total_gross"": 15.48,
  ""total_net"": 13.01,
  ""business_name"": ""BURGER KING®"",
  ""items"": [
    {
      ""name"": ""Chili Cheese Nuggets 6 Stk."",
      ""price"": 2.99
    },
    {
      ""name"": ""Cheesy Rösti Lover Beef Double King Menü Klein"",
      ""price"": 12.49
    }
  ]
}",invoice_recx4wg6mwAac34bH.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/NDFEOPxKGIleT0nXpZvamQ/-7dPgjJovHuGLCba0GEbcY37eew3RP3JRceevjph-2z2_HH99pWV0hrvEl33i89lMO5H-qlAk93cDHTCxvJODtIeUf0C_pYL1pGGtV0o8fGONZj-dPx4Ml2GGRrC5zpFZMIFUvn70snX6dUk6mhdaggkzAFtbIi9OSHVCLoMWzuTGDiGq8sbhrS3Hs3Z88W9/fOmX2slirt8t0UleFC99KKAM0Mn5YqVGGc6Q_Lr3eqE),invoice
invoice_rec6jnwamPj8m1u5y,"{
  ""total_gross"": 131.70,
  ""total_net"": 110.67,
  ""business_name"": ""Brauhaus an der Thomaskirche"",
  ""items"": [
    {
      ""name"": ""Steinpilzcremesuppe"",
      ""price"": 17.80
    },
    {
      ""name"": ""Tomatensuppe"",
      ""price"": 15.00
    },
    {
      ""name"": ""Apfelschorle 0,5l"",
      ""price"": 11.00
    },
    {
      ""name"": ""Pils Thomask. 0,5l"",
      ""price"": 10.40
    },
    {
      ""name"": ""Schwarz Thomask. 0,5l"",
      ""price"": 20.80
    },
    {
      ""name"": ""Pizza Salame Prosc."",
      ""price"": 12.90
    },
    {
      ""name"": ""Pizza Tonno Cipolla"",
      ""price"": 12.90
    },
    {
      ""name"": ""Spaghetti Carbonara"",
      ""price"": 14.90
    },
    {
      ""name"": ""Gnocchi al Gorgonzol"",
      ""price"": 16.00
    }
  ]
}",invoice_rec6jnwamPj8m1u5y.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/to8kMSnEkcD_bqeM1nemrg/DIXKftemW3nhD4VBvFvL1Wcl777KltCb4bC9oZpDrHX5RgYJcHrWTOoNeZezoWilRQKGglOFB_BwT13wtjivsbJ0Tk2uddC9wnspVODdc0Ow31SpMVbc5OWh2Cqq9b16DCe0gf02xXjWMZzRs6UBSRPZsMFOAV3rwDWDYs6iMxtn7iHQDABuPrzmR-z0SQ_j/LPlwHudq6oh3q_na518QiyI9EWk0fwcdsE_iCYQ6u6U),invoice
invoice_recHWC7qGba0eRogA,"{
  ""total_gross"": 403.42,
  ""total_net"": 339.01,
  ""business_name"": ""Zweirad-Center Stadler, Straße des 18. Oktober 46, 04103 Leipzig"",
  ""items"": [
    {
      ""name"": ""Bremsscheibe 6-Loch 160mm, SMRT66 Metal/Resin"",
      ""price"": 19.99
    },
    {
      ""name"": ""Bremsscheibe 6-Loch 180mm, SMRT66 Metal/Resin"",
      ""price"": 21.99
    },
    {
      ""name"": ""Adapter Satz für Disc-Br mit Schrauben"",
      ""price"": 8.99
    },
    {
      ""name"": ""Scheibenbremse MT501 2-Kolben, HR, I-Spec II, Resin"",
      ""price"": 69.99
    },
    {
      ""name"": ""Scheibenbremse MT501 2-Kolben, VR, I-Spec II, Resin"",
      ""price"": 64.99
    },
    {
      ""name"": ""Kette CN-HG71 6/7/8-fach, 138 Glieder"",
      ""price"": 21.99
    },
    {
      ""name"": ""Kassette HG51 8-fach, 11-32 Zähne"",
      ""price"": 21.99
    },
    {
      ""name"": ""Bremsscheiben erneuern vorn zzgl. Material"",
      ""price"": 28.50
    },
{
      ""name"": ""Bremsscheiben erneuern hinten zzgl. Material"",
      ""price"": 28.50
    },
{
      ""name"": ""Hydraulische Bremsanlage montieren vorn&hinten zzgl. Mat"",
      ""price"": 76.00
    },{
      ""name"": ""Katte & Kassette wechseln zzgl. Material"",
      ""price"": 38.00
    },{
      ""name"": ""Klein- und Reinigungsmaterial"",
      ""price"": 2.49
    },{
      ""name"": ""Altteile dürfen entsorgt werden"",
      ""price"": 0.00
    }
  ]
}",invoice_recHWC7qGba0eRogA.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/aIompybFF9NgE0rFU4p0_Q/o5osT1VqrZupaHW85hdUy4S8W2qvhM4U0kDhDsylcDq6ScfkqeBWrTIIOgd-UeUkeBeMSfN_c9-4ZsiBzkFEbjFt8kCwv2ZC7GaYJUQG-ztHT-_vQeUHNiQDuGDHHPsg6O4J6lqxvr3Gi93_DGzY1HheRsMbaIO5CmOzojaupzu6h2GCV26eEyMH8jXV1f6H/pmvLCWKxJmfolLuJYCZtX-Q7PKvazivehu1G8fHJat8),invoice
invoice_rec9yGb4g2P2NHJda,"{
  ""total_gross"": 12.29,
  ""total_net"": 10.33,
  ""business_name"": ""Burger King"",
  ""items"": [
    {
      ""name"": ""Big King XXL® King Menü"",
      ""price"": 12.29
    }
  ]
}",invoice_rec9yGb4g2P2NHJda.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/Ixt2kCjBnV302gTk_A-Xtg/XJ_aIUinlYOfbZctzdMw3Bz0Q3JqoTGyoG9atdYAxsLxme5TQrdsZmAHZOysSLWfuTtD4clW6mUwAjlGcPtVubNYVP5WojOX6wAsDYYXLVfNGwupGYglZdv8rpM8f8YQP7RLZlH7SnV4sItLLHC_C6vcPF8VVLm4Jt3QCedR0zCC5N2p_i7LbFKIX9731y-e/_G3B-YXpRsQ5NHrG3-EMzf1zT7Yxw5jQACTj5amVLzk),invoice
invoice_recYsN9Su9On0ER58,"{
  ""total_gross"": 15.79,
  ""total_net"": 13.28,
  ""business_name"": ""Burger King"",
  ""items"": [
    {
      ""name"": ""King's Emo D M"",
      ""price"": 15.79
    }
  ]
}",invoice_recYsN9Su9On0ER58.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/l9KRrGkbEaMdnJ6a4SyA3w/5gH14-oq4ia-ym5VYaAuzAcJVYq077FpzrzrwDoCD6vJY7dlggrWkppy52Vsknvtk0n4dGL-9MnqYNIx9dtnQRN8acT_0Zvi2yDL5n6a0YHqKAe9onr66zSoOE07T2OPYLHG1YL68NgtPXWCaMmFJtmquJ5Z-7kZHc60UNW5ooz2YmZ1YvVog1aPxdxxC1QR/nOiEgJ1ecm2SWU2EldOPUHjM5bLEowt4KAs3VRx9FMY),invoice
invoice_recVLrTGQIsXWavzz,"{
  ""total_gross"": 209.40,
  ""total_net"": 175.97,
  ""business_name"": ""Chito Gvrito"",
  ""items"": [
    {
      ""name"": ""Pils vom Fass 0,5"",
      ""price"": 10.40
    },
    {
      ""name"": ""Georgische Bier"",
      ""price"": 24.00
    },
    {
      ""name"": ""Tarchun 0,4"",
      ""price"": 32.50
    },
    {
      ""name"": ""tatara"",
      ""price"": 30.00
    },
    {
      ""name"": ""Vorspeise groß"",
      ""price"": 18.00
    },
    {
      ""name"": ""Brot"",
      ""price"": 3.00
    },
    {
      ""name"": ""O4 Adjaruli"",
      ""price"": 35.00
    },
    {
      ""name"": ""Chakapuli"",
      ""price"": 18.50
    },
    {
      ""name"": ""Soko Kezse Käse"",
      ""price"": 14.00
    },
    {
      ""name"": ""Schachlik Schwein"",
      ""price"": 18.00
    },
    {
      ""name"": ""kartoffel"",
      ""price"": 6.00
    }
  ]
}",invoice_recVLrTGQIsXWavzz.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/qBVWzrzg9EGq4t1Bxek9Qw/rpToD8HNL9B5lJjLhp9Py2ilbLMp9LOCsoIOH33Z42AXVIaai2vLqA3wIfRTsSTzbIx0G3vslSyd3LKgDnDnS4JS6u_gMaG2cF0hYeE5ZtJR-6RiuNzpdU7Gah4gbZvFtMuVRuGrnVC11SANwMoC03O-m1IiredRzaF4VfMBr4EMfdYURypcet9rH3uW8Fho/aKTNB03S-iC44spvs146lQ5PINe-xA69haZr8rs9Iwk),invoice
invoice_recegdkB6dUZaZREr,"{
  ""total_gross"": 146.71,
  ""total_net"": 134.80,
  ""business_name"": ""The Cloud One Hamburg-Kontorhaus"",
  ""items"": [
    {
      ""name"": ""Best Price including Breakfast"",
      ""price"": 146.71
    }
  ]
}",invoice_recegdkB6dUZaZREr.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/vIyaJXj6cg_lpahoaJvCCg/xyVb0lQJh39Fi1sukcb_ihnumQlfPX7JD1ugJ4zjDsjYXTfBsjzxKjFd3VtvHjXmcaZfHxV96X0U_YjYtwrwaDMR96wuA1aSuHdocB6IYNHdCXXG8CkvpT5J4tkbk_PbotsqQs6ZeJ_wKtwr516IVP7g9z9QZo1vaPDe0f72LxRkKKumTR8-F3XWJalJEp9J/J-VabxBckIOCvT7gPDdMAwrqTK-HjSDvxW2N2KGtjIE),invoice
invoice_recp4HVkuHiEIxUGK,"{
  ""total_gross"": 64.99,
  ""total_net"": 54.61,
  ""business_name"": ""Deichmann SE"",
  ""items"": [
    {
      ""name"": ""Nike"",
      ""price"": 64.99
    }
  ]
}",invoice_recp4HVkuHiEIxUGK.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/zcdQD1xRY4XhverkX2tfbQ/OHZ7mse_PvYmA1fOZhKU-1ijVp4PYFQnpwJ7vCZQ-Efa6aLcukydbgKPpUEq1obGGrgn9DjlsaGKPcvQ_NdTDvNN-VIR8VojSzsVEO3pgWeA4_2NZ9CX1ycbjQqFbCVmNkOhy8Uz7Kd6p6fj2_8rJMN6cc2uVs-zlIApgYGvd8luB46kbb6GH11PoMODT9nD/8YsxPiAffCnGrXzWpNHdRUcPH2uYg17sNuRYz77VCyk),invoice
invoice_recFZbWJ4SV9foXR5,"{
  ""total_gross"": 4.60,
  ""total_net"": 4.30,
  ""business_name"": ""dm-drogerie markt"",
  ""items"": [
    {
      ""name"": ""dmBio Grüner Tee Chun Mee"",
      ""price"": 2.65
    },
    {
      ""name"": ""Bad Heilbr. Mate Pur Tee"",
      ""price"": 1.95
    }
  ]
}",invoice_recFZbWJ4SV9foXR5.pdf (https://v5.airtableusercontent.com/v3/u/40/40/1745661600000/3WRIf8JiIDt-fkoIlqcgaw/vcv3LoFbSdLKokRaSPj1FRde_kaRxRQedL4-z7nuuY4DMBYhDPbDCq9s7UpKitdMG3CpTn9Byo63-7E0HTAXdSREBlGofk9I1iFxkG1xEsJgRncCdDX7U-vPpdq_oyrSIBCuUrS8xyXoKZtFTIaeGuGjmMC5BPcRgLyCvgn0vDQSDvndWSE0XpBYvKqhj6Vk/9vsWPS5cq_GkPcQmiF_WN1I3upbFo-uDaDWEPbIL948),invoice
